iter	RMSE
0	1.10165336
1	1.091527743
2	1.083370469
3	1.079002956
4	1.072775615
5	1.065306233
6	1.059345625
7	1.050352089
8	1.04221611
9	1.039129755
10	1.031646038
11	1.023637861
12	1.015069151
13	1.008385477
14	1.00041962
15	0.9937657775
16	0.989811149
17	0.9813034957
18	0.9776110619
19	0.971010378
20	0.9638199031
21	0.9585096073
22	0.952299598
23	0.9449643175
24	0.9378838428
25	0.93252636
26	0.9251403912
27	0.9208010144
28	0.9171686052
29	0.9116002667
30	0.9046109415
31	0.9000795618
32	0.8961637772
33	0.8920245883
34	0.8884847065
35	0.8839443077
36	0.8770709613
37	0.8728490679
38	0.867268256
39	0.8634409017
40	0.859170459
41	0.8556469088
42	0.8503412918
43	0.8443849422
44	0.8406007325
45	0.8375468858
46	0.8338276511
47	0.8294477093
48	0.8236557322
49	0.8206291814
50	0.8158115632
51	0.8129005072
52	0.8064573965
53	0.8020081785
54	0.799318082
55	0.7951929342
56	0.7921734698
57	0.7868284404
58	0.7825948614
59	0.7789872014
60	0.7750846556
61	0.7708306986
62	0.7671750316
63	0.7637923723
64	0.7597216769
65	0.7562974488
66	0.7527547249
67	0.749252022
68	0.746250736
69	0.7424712073
70	0.7389883835
71	0.7339136146
72	0.7300787989
73	0.7266263135
74	0.7233501023
75	0.7191797918
76	0.7150663642
77	0.7115796383
78	0.7083726487
79	0.705138173
80	0.7027681193
81	0.7006924802
82	0.698715428
83	0.6945899459
84	0.6923201333
85	0.6894713235
86	0.6864857581
87	0.683206282
88	0.6799699832
89	0.6762729751
90	0.6743402943
91	0.6711206193
92	0.6677275407
93	0.6653095546
94	0.662343164
95	0.6596944036
96	0.6573326301
97	0.6549491846
98	0.6507418057
99	0.6488867629
100	0.6472131043
101	0.6444492419
102	0.6420903846
103	0.6399106333
104	0.6375041797
105	0.6351859051
106	0.6328437407
107	0.6307814444
108	0.6282673582
109	0.6249306638
110	0.6236495821
111	0.6206670123
112	0.6182724194
113	0.6152525769
114	0.6131922052
115	0.610501372
116	0.6077581266
117	0.6059411843
118	0.6046060433
119	0.602276843
120	0.6004815844
121	0.5972370044
122	0.5950526544
123	0.5922248812
124	0.5908543996
125	0.5886164509
126	0.5868478604
127	0.5837802696
128	0.5816656056
129	0.5786844455
130	0.5758809322
131	0.5736724287
132	0.5709084206
133	0.5690145422
134	0.5658172362
135	0.5630977222
136	0.5615480551
137	0.5596290305
138	0.557304885
139	0.5554487274
140	0.5538201421
141	0.5513340575
142	0.5474730559
143	0.5452834177
144	0.5432836668
145	0.5410803681
146	0.5399632291
147	0.5374822228
148	0.5352915947
149	0.5332420485
150	0.5304048657
151	0.528063716
152	0.5268451549
153	0.5245180476
154	0.5235345037
155	0.5228307812
156	0.5212615922
157	0.5188841859
158	0.5150172208
159	0.5126702517
160	0.511495006
161	0.5095761614
162	0.5073090985
163	0.5054342081
164	0.5033175305
165	0.5019810994
166	0.499912054
167	0.4982271463
168	0.4958492265
169	0.4942280324
170	0.4925275056
171	0.4906396966
172	0.4887813029
173	0.4872231314
174	0.4853386887
175	0.4834104265
176	0.4821195899
177	0.480758191
178	0.4787291416
179	0.4767533126
180	0.4753541965
181	0.4732036088
182	0.4717222317
183	0.4681240709
184	0.4657158188
185	0.4632452934
